Time (s),Temp (C),RH (%), v (m/s),,,
1.36028636,25.0050659,60.0419579,6.26E-03,,,
1.36924112,25.0045471,60.043438,6.35E-03,,,
1.37817955,25.0057983,60.0398483,4.77E-03,,,
1.38712299,25.0047607,60.0428352,5.56E-03,,,
1.39608145,25.0036621,60.0459938,7.29E-03,,,
1.40500283,25.0019531,60.0508614,6.34E-03,,,
1.41390657,25.0049744,60.0422134,6.52E-03,,,
1.42282069,25.0038757,60.0453491,8.10E-03,,,
1.43178582,25.0033875,60.0467377,6.73E-03,,,
1.4407177,25.0054626,60.0407791,9.63E-03,,,
1.44960451,25.0047607,60.0427971,6.09E-03,,,
1.45848072,25.0054932,60.0407104,9.57E-03,,,
1.46736312,25.0048218,60.0426445,8.23E-03,,,
1.47626531,25.0050964,60.0418739,8.25E-03,,,
1.48520017,25.0041809,60.0445023,7.12E-03,,,
1.49417698,25.0041199,60.0447006,8.66E-03,,,
1.50316489,25.0033875,60.0467796,7.41E-03,,,
1.51216626,25.0048523,60.0425644,7.46E-03,,,
1.52116287,25.0052795,60.0413132,7.25E-03,,,
1.53017581,25.0050049,60.0421181,6.06E-03,,,
1.53918076,25.0046997,60.0429955,7.41E-03,,,
1.54817796,25.0056763,60.0402222,7.70E-03,,,
1.5571785,25.0032654,60.0471382,5.20E-03,,,
1.5661751,25.0050964,60.0418739,5.82E-03,,,
1.57518768,25.004425,60.0437622,9.53E-03,,,
1.58421063,25.0044556,60.0437279,4.49E-03,,,
1.59322143,25.0032959,60.04702,6.73E-03,,,
1.60221875,25.0039673,60.0451279,7.56E-03,,,
1.61121988,25.0032959,60.04702,7.72E-03,,,
1.62022626,25.0036011,60.0461426,6.86E-03,,,
1.62920058,25.0036316,60.0460663,9.00E-03,,,
1.63820946,25.0043945,60.0438843,8.13E-03,,,
1.64719594,25.0055237,60.0406723,1.09E-02,,,
1.65617788,25.0040283,60.0449142,9.43E-03,,,
1.66515338,25.0053711,60.0410805,9.31E-03,,,
1.67409277,25.0059814,60.0393295,8.08E-03,,,
1.68301499,25.0062866,60.0384369,1.03E-02,,,
1.69190407,25.0056763,60.0402107,8.89E-03,,,
1.7007513,25.0051575,60.0416946,7.92E-03,,,
1.70961237,25.0047302,60.042942,7.22E-03,,,
1.71853352,25.0052795,60.0413551,8.21E-03,,,
1.72748017,25.0040894,60.044796,9.32E-03,,,
1.73643577,25.0048218,60.0426445,9.95E-03,,,
1.74541712,25.004364,60.0439682,7.92E-03,,,
1.7543968,25.0047913,60.0427551,1.08E-02,,,
1.76334453,25.0051575,60.0417023,7.73E-03,,,
1.77223694,25.0048523,60.0425949,1.09E-02,,,
1.7811085,25.0045776,60.0433655,1.05E-02,,,
1.79000485,25.0046692,60.0431099,8.55E-03,,,
1.79892027,25.0038757,60.0453873,1.02E-02,,,
1.80785525,25.0038452,60.0454636,9.62E-03,,,
1.81682622,25.0041809,60.0445213,1.12E-02,,,
1.82581532,25.0049133,60.0423927,1.02E-02,,,
1.83478093,25.0040283,60.0449486,1.00E-02,,,
1.84375167,25.0036926,60.0459213,9.92E-03,,,
1.85270989,25.0035095,60.0464401,1.08E-02,,,
1.86165679,25.0049744,60.0422325,9.92E-03,,,
1.87058806,25.0039062,60.0452881,1.20E-02,,,
1.87951612,25.0041809,60.0445251,1.05E-02,,,
1.88847601,25.004303,60.0441856,1.23E-02,,,
1.89744878,25.0032654,60.0471573,1.18E-02,,,
1.90644634,25.0038147,60.0455589,1.20E-02,,,
1.91544342,25.0037231,60.0458221,1.02E-02,,,
1.92442429,25.0044861,60.0436554,1.22E-02,,,
1.93337214,25.0038757,60.0453873,1.39E-02,,,
1.94230497,25.0051575,60.0417061,1.27E-02,,,
1.95120561,25.005249,60.04142,1.25E-02,,,
1.96011853,25.0050354,60.0420532,1.17E-02,,,
1.96900523,25.006012,60.0392647,1.41E-02,,,
1.97784722,25.0056152,60.0404091,1.26E-02,,,
1.98668635,25.0054932,60.0407257,1.11E-02,,,
1.99553478,25.0037537,60.0457954,1.15E-02,,,
2.00439167,25.0047607,60.0428505,1.31E-02,,,
2.01326752,25.00354,60.0463448,1.33E-02,,,
2.0221808,25.0033264,60.0469513,1.32E-02,,,
2.03116512,25.0035706,60.0462494,1.27E-02,,,
2.0401361,25.0033875,60.0468102,1.35E-02,,,
2.04907322,25.0035095,60.0464478,1.16E-02,,,
2.05803013,25.00354,60.0463753,1.41E-02,,,
2.06701088,25.0042114,60.0444374,1.30E-02,,,
2.07601714,25.004364,60.0439911,1.43E-02,,,
2.08500814,25.0036011,60.0461731,1.40E-02,,,
2.09401488,25.0037842,60.0456581,1.50E-02,,,
2.10303831,25.0032349,60.0472641,1.48E-02,,,
2.11204815,25.003418,60.0467453,1.34E-02,,,
2.120996,25.0038452,60.0454865,1.56E-02,,,
2.12991118,25.0037842,60.0456696,1.53E-02,,,
2.13882661,25.0036926,60.0459213,1.67E-02,,,
2.14776587,25.0038147,60.0456047,1.66E-02,,,
2.1567018,25.0044556,60.0437355,1.68E-02,,,
2.16563916,25.0044556,60.0437355,1.65E-02,,,
2.17458415,25.0048523,60.0426064,1.64E-02,,,
2.18350244,25.0049438,60.0423355,1.76E-02,,,
2.1923945,25.003418,60.0467148,1.57E-02,,,
2.20126557,25.0040894,60.0448074,1.55E-02,,,
2.21014047,25.0039978,60.045105,1.82E-02,,,
2.21903634,25.0039368,60.0452614,1.84E-02,,,
2.22795582,25.004425,60.0438347,1.76E-02,,,
2.23686767,25.0038147,60.0456161,1.76E-02,,,
2.24576211,25.0049438,60.042347,1.98E-02,,,
2.25463152,25.0053101,60.0412979,2.10E-02,,,
2.26346493,25.0059509,60.0394897,2.00E-02,,,
2.27228737,25.0054016,60.0410233,1.95E-02,,,
2.28115797,25.0062256,60.0386734,2.02E-02,,,
2.29007864,25.0047607,60.0428925,2.17E-02,,,
2.29903746,25.0045776,60.0433769,2.11E-02,,,
2.30800152,25.0055237,60.040699,2.15E-02,,,
2.31694746,25.0042725,60.0442543,2.22E-02,,,
2.32593036,25.0040894,60.044796,2.01E-02,,,
2.33488965,25.0041809,60.0445976,2.30E-02,,,
2.34380388,25.0043945,60.0439377,2.29E-02,,,
2.35269141,25.0045166,60.043602,2.28E-02,,,
2.36161733,25.0043945,60.0439262,2.28E-02,,,
2.37058759,25.0037537,60.0457916,2.43E-02,,,
2.3795445,25.0049744,60.0422783,2.48E-02,,,
2.38849282,25.0040588,60.0449257,2.41E-02,,,
2.39745879,25.0038147,60.0456352,2.46E-02,,,
2.40645504,25.0038757,60.0454407,2.63E-02,,,
2.4154768,25.0038757,60.0454407,2.70E-02,,,
2.42450523,25.0036926,60.0459709,2.79E-02,,,
2.43354249,25.0040588,60.0449219,2.57E-02,,,
2.44257998,25.0046387,60.043251,2.63E-02,,,
2.45162177,25.0036011,60.0462379,2.70E-02,,,
2.46065664,25.0043335,60.0440865,2.86E-02,,,
2.46966386,25.0039673,60.0452003,2.94E-02,,,
2.4786613,25.0039673,60.0452003,2.83E-02,,,
2.48767376,25.0040283,60.0450058,2.90E-02,,,
2.4966836,25.0039673,60.0451813,2.97E-02,,,
2.50565219,25.0037537,60.0458031,3.02E-02,,,
2.5145843,25.0028381,60.0484314,3.16E-02,,,
2.52351308,25.0041809,60.0446167,3.09E-02,,,
2.5324707,25.0040588,60.0449486,3.18E-02,,,
2.54143786,25.0044556,60.0437813,3.15E-02,,,
2.55040145,25.0048218,60.0427437,3.31E-02,,,
2.55938673,25.0049438,60.0424118,3.57E-02,,,
2.56836963,25.0050659,60.0420609,3.46E-02,,,
2.57732916,25.0056152,60.0404816,3.49E-02,,,
2.58626604,25.0048828,60.042572,3.57E-02,,,
2.5951767,25.0057068,60.0402298,3.49E-02,,,
2.60407209,25.0059204,60.0395851,3.68E-02,,,
2.6129787,25.0054932,60.0408363,3.82E-02,,,
2.62187481,25.0040283,60.0450439,3.67E-02,,,
2.63079,25.004303,60.0442543,3.69E-02,,,
2.63971591,25.0042725,60.044323,3.88E-02,,,
2.64867902,25.0037842,60.0457611,3.99E-02,,,
2.65760994,25.0036621,60.0461121,4.11E-02,,,
2.66653228,25.0031128,60.0476608,4.07E-02,,,
2.67544508,25.0038452,60.0455513,4.09E-02,,,
2.68437433,25.004425,60.0439301,4.18E-02,,,
2.69330716,25.0046082,60.0434074,4.23E-02,,,
2.70225334,25.0046997,60.0431366,4.39E-02,,,
2.71121216,25.004364,60.0441399,4.38E-02,,,
2.72016549,25.0046997,60.0431366,4.54E-02,,,
2.72909594,25.0052795,60.0415001,4.50E-02,,,
2.73802447,25.0050354,60.0422096,4.66E-02,,,
2.74695921,25.0048828,60.0425949,4.73E-02,,,
2.75591564,25.0052795,60.0415001,4.64E-02,,,
2.76489615,25.0049744,60.0423355,4.92E-02,,,
2.77387214,25.0043945,60.0440559,4.92E-02,,,
2.78281975,25.005249,60.0415764,4.90E-02,,,
2.79175925,25.0048523,60.0427284,4.97E-02,,,
2.80071688,25.0038452,60.0456161,5.09E-02,,,
2.8097086,25.0039368,60.0453568,5.24E-02,,,
2.81868482,25.0036621,60.0461617,5.37E-02,,,
2.82767129,25.0027771,60.0487061,5.27E-02,,,
2.83663535,25.0035095,60.0466003,5.42E-02,,,
2.84555435,25.0036316,60.0462494,5.57E-02,,,
2.85446143,25.0041504,60.0447578,5.62E-02,,,
2.86338019,25.0043335,60.0442581,5.79E-02,,,
2.87230253,25.0048828,60.0426445,5.72E-02,,,
2.88122869,25.0048218,60.0428467,5.76E-02,,,
2.89013195,25.0050049,60.0423088,5.92E-02,,,
2.8990767,25.005127,60.0419922,6.13E-02,,,
2.90804696,25.0049744,60.0424232,5.95E-02,,,
2.91703105,25.0049133,60.0426064,6.05E-02,,,
2.92601061,25.0041504,60.0447731,6.14E-02,,,
2.93495893,25.004364,60.0441818,6.23E-02,,,
