Time (s),T (C),RH,v (m/s)
3.12371898,24.9961548,60.07024,0.004321903
3.13270259,24.9966736,60.0687256,0.004687234
3.14169407,24.9968262,60.0682678,0.003553395
3.15071201,24.9962769,60.0698395,0.003505518
3.15968537,24.9960022,60.0706558,0.00473945
3.16862273,24.9956665,60.0716248,0.00428106
3.17759967,24.9951172,60.0732079,0.004187829
3.18659878,24.9956665,60.0715981,0.004638105
3.19557881,24.9950867,60.0732918,0.004018291
3.20455122,24.9951782,60.0730133,0.004890995
3.21351242,24.9952393,60.0728683,0.004714132
3.22246361,24.9952698,60.0727806,0.003826654
3.23142838,24.995575,60.0718842,0.003178716
3.2404182,24.9948425,60.0739975,0.004449743
3.24942017,24.9959106,60.0709457,0.004171836
3.25843382,24.9962769,60.06987,0.003173266
3.26743531,24.9960938,60.0703888,0.003817079
3.27642846,24.9966431,60.0688324,0.004248444
3.28539133,24.9964294,60.0694733,0.003834745
3.2942996,24.9962158,60.0700188,0.003288228
3.30319309,24.9968567,60.068203,0.003015564
3.31211543,24.9970398,60.0676956,0.004815208
3.32103014,24.9972534,60.0670319,0.004131257
3.32993102,24.9968872,60.0681419,0.003575345
3.33884454,24.9975281,60.0662766,0.004952831
3.3478024,24.9980774,60.0646973,0.003886902
3.35675859,24.9977112,60.0657578,0.004355566
3.36569357,24.9979553,60.0650482,0.00506367
3.37462044,24.997467,60.0664597,0.004368192
3.38356614,24.9974365,60.0665283,0.003567189
3.39253187,24.9971313,60.0673904,0.004351491
3.40147972,24.9968872,60.0681,0.004190991
3.41040897,24.9967041,60.0686264,0.003597795
3.41933274,24.9964294,60.0694313,0.0042105
3.42826414,24.9964294,60.0694237,0.004708502
3.4372344,24.9954529,60.0722504,0.004976928
3.44624805,24.9957581,60.0713272,0.002858829
3.45526123,24.9960327,60.070549,0.004613893
3.46424651,24.9956665,60.0716171,0.004931521
3.47319245,24.9956055,60.0717545,0.004535163
3.48210907,24.995697,60.0715218,0.004607858
3.49101734,24.9959412,60.0708237,0.005299423
3.49994946,24.9958496,60.0710793,0.006164916
3.50893283,24.9960938,60.0703773,0.004768744
3.51796818,24.9962769,60.0698547,0.005540184
3.52701306,24.9969482,60.0679092,0.004983543
3.5360477,24.9969177,60.0680466,0.004579043
3.54506946,24.9972839,60.066967,0.006237448
3.55407214,24.9975891,60.0660782,0.005105923
3.56304646,24.9978027,60.0654716,0.005110624
3.57198191,24.99823,60.0642204,0.00537804
3.58091021,24.9977112,60.0657272,0.005975656
3.58984256,24.9981384,60.064518,0.004638418
3.59878731,24.9981995,60.0643158,0.005075512
3.60774636,24.9976501,60.065918,0.0059281
3.61670899,24.9981079,60.0645828,0.006187422
3.6256671,24.9976196,60.0660019,0.005524441
3.63464332,24.9973755,60.0667191,0.005084823
3.64362454,24.9971008,60.0674934,0.005109579
3.65256214,24.996521,60.0691566,0.006029629
3.66148281,24.9973145,60.0668678,0.005603626
3.67039132,24.9968567,60.0681839,0.006040357
3.67933798,24.9964905,60.0692406,0.006279181
3.68831468,24.9963989,60.0694847,0.0063417
3.69725084,24.9971924,60.0672188,0.005796623
3.70624065,24.9967041,60.0686188,0.005821086
3.7152617,24.9969788,60.067852,0.00599665
3.72427034,24.9970093,60.0677376,0.006902524
3.73327827,24.9966431,60.0687904,0.006172677
3.7422483,24.9968567,60.0681725,0.0057157
3.75116944,24.9968262,60.0682983,0.00613824
3.7600739,24.996521,60.0691299,0.004370261
3.76899052,24.9963074,60.0697823,0.005541942
3.77792311,24.9971924,60.0671959,0.005140093
3.78686619,24.9967651,60.0684242,0.004711878
3.79582596,24.9966125,60.0689125,0.005126876
3.80480146,24.9962769,60.0698891,0.005482363
3.81378579,24.9964294,60.0694008,0.00559697
3.8227818,24.9963379,60.069664,0.00432662
3.83179712,24.995697,60.0715332,0.006433588
3.84084725,24.995636,60.0717125,0.005829898
3.849895,24.9960022,60.0706406,0.005410069
3.8589282,24.9957886,60.0712433,0.00528197
3.86792445,24.995575,60.0718727,0.006051031
3.87691665,24.9956055,60.0717735,0.005197917
3.88594031,24.9950562,60.0733452,0.005350848
3.89496899,24.9951782,60.0729942,0.00660676
3.9040091,24.9947815,60.0741577,0.005792472
3.9130466,24.9953308,60.0725632,0.005666142
3.92208409,24.9949646,60.0736198,0.005462422
3.93111849,24.9954224,60.0722809,0.006144945
3.94016767,24.9951782,60.0729866,0.005735645
3.94924164,24.9947815,60.0741463,0.005567633
3.95832729,24.9953918,60.072403,0.005357047
3.96739745,24.9953918,60.072403,0.005884467
3.97644377,24.9953613,60.0724831,0.006218469
3.98550844,24.995636,60.0716896,0.005356441
3.99457455,24.9954834,60.0721245,0.005486569
4.00363493,24.9955139,60.0720329,0.00629743
4.01268005,24.9960022,60.0706406,0.006716197
4.02173042,24.9956665,60.0715828,0.005521454
4.03077412,24.9958191,60.0711594,0.006358421
4.03979969,24.9957275,60.0714035,0.006692404
4.0488286,24.9963074,60.0697823,0.005755653
4.05781889,24.9958191,60.0711746,0.006433284
4.06680584,24.9959106,60.0708885,0.007027329
4.07581854,24.9960022,60.0706215,0.006999245
4.08480501,24.9953613,60.0724449,0.006718608
4.09376812,24.9956055,60.0717468,0.006912086
4.10273695,24.9955139,60.0720329,0.006560349
4.11168003,24.9957581,60.0713501,0.006888797
4.12061453,24.9958801,60.0709724,0.006414781
4.12955666,24.9954529,60.0722313,0.006019753
4.13855553,24.9961548,60.0701752,0.007095058
4.14758778,24.9961853,60.0701103,0.006686854
4.15658998,24.9970093,60.0677261,0.006716878
4.16556358,24.9968872,60.068058,0.005247902
4.17453575,24.9973755,60.066658,0.006208629
4.18354321,24.9978943,60.0651855,0.006511378
4.19258833,24.9968567,60.0681725,0.005423292
4.20160913,24.9969788,60.0678139,0.006108407
4.21062088,24.9969177,60.0680161,0.006240045
4.21961689,24.9966431,60.068779,0.006130206
4.22854805,24.9967651,60.0684166,0.006120482
4.23749685,24.9963989,60.0694847,0.006006898
4.2464819,24.9964294,60.0693893,0.005367383
4.2554369,24.9961548,60.0701828,0.006853918
4.26435947,24.9967041,60.0685997,0.007444977
4.27331972,24.9966431,60.0687752,0.005973211
4.28228426,24.9969788,60.0678024,0.005814917
4.2912035,24.9972839,60.0669556,0.007298653
4.30013657,24.9975281,60.0662422,0.006449115
4.30910206,24.9975891,60.0660629,0.005900497
4.31803703,24.9981079,60.0645599,0.006986413
4.32698393,24.9983215,60.0639687,0.006876151
4.33598423,24.9981689,60.0643997,0.006358829
4.34499454,24.9981079,60.0645828,0.006918123
4.35397148,24.9978027,60.0654373,0.005869514
4.36296511,24.9970703,60.0675468,0.007333918
4.37194777,24.9973145,60.0668259,0.00710829
4.38096285,24.9966736,60.0686836,0.006974712
4.38999987,24.9964294,60.0693893,0.007148795
4.39906502,24.9960632,60.0704384,0.006349452
4.40812063,24.9958496,60.0710526,0.007612079
4.41716671,24.9956665,60.0715752,0.006641236
4.42619467,24.9953918,60.0723572,0.007909489
4.43519306,24.9957275,60.0713806,0.007041248
4.4441824,24.9954834,60.072094,0.007479133
4.4531765,24.9956665,60.0715714,0.006661602
4.46215296,24.9958496,60.0710373,0.006394351
4.47109938,24.9959412,60.0707664,0.008117742
4.48000336,24.9961243,60.0702896,0.007597219
4.48886156,24.9967651,60.068409,0.007180791
4.49777746,24.9970093,60.0676842,0.007464597
4.50670338,24.9972534,60.0670319,0.008266564
4.51566553,24.9970093,60.0677147,0.007001967
4.52463961,24.9975891,60.0660515,0.007739697
4.53359938,24.9971313,60.0673561,0.007759476
4.54254007,24.997345,60.0667496,0.007937761
4.55146646,24.9973145,60.0667953,0.008024018
4.56038141,24.9967957,60.0683136,0.007929857
4.56926346,24.9970093,60.0676956,0.007443756
4.57817698,24.9965515,60.0690193,0.007364825
4.58712292,24.9967041,60.0685883,0.007659384
4.59603834,24.9968872,60.0680237,0.008316925
4.60495377,24.996582,60.0689392,0.0076775
4.61389923,24.9965515,60.0690193,0.007767213
4.62286425,24.9965515,60.0690613,0.008340815
4.63183546,24.9968262,60.0682487,0.008275513
4.64083242,24.9968567,60.0681305,0.007586513
4.64981556,24.9969788,60.0677719,0.007412081
4.65879774,24.9973145,60.0668297,0.008662909
4.66779995,24.9975281,60.0662155,0.007022402
4.67681885,24.9974365,60.0664749,0.007468703
4.68583679,24.9977112,60.0656738,0.007605092
4.69485426,24.997345,60.0667419,0.007659335
4.70386648,24.9975891,60.0660439,0.007833668
